"","sero_thresh","kappa","foi_sp","NNT_e","DeathsAverted_e","prop_red_e_med","Deaths_e","NNT","DeathsAverted","Deaths","NumCampaign","FirstVaxTime"
"1","0",500,0.7,"NA (NA-NA)","0 (0-0)","0%","23375 (22275-25529)","NA (NA-NA)","0 (0-0)","31914 (30223-34827)","0 (0-0)","NA (NA-NA)"
"2","0.5",500,0.7,"801 (705-865)","15884 (14717-18072)","68%","7499 (7109-7758)","654 (568-718)","19474 (17740-22419)","12450 (11849-12809)","20 (20-20)","261 (261-261)"
"3","0.6",500,0.7,"1093 (972-1167)","18072 (16933-20321)","78%","5278 (5031-5424)","877 (771-949)","22526 (20828-25630)","9357 (8876-9612)","31 (31-31)","169 (169-169)"
"4","0.7",500,0.7,"1682 (1508-1784)","19743 (18592-21991)","85%","3601 (3349-3744)","1332 (1183-1433)","24978 (23156-28030)","6909 (6462-7163)","52 (52-53)","92 (92-92)"
"5","0.8",500,0.7,"3183 (2870-3359)","20856 (19764-23131)","90%","2460 (2279-2585)","2485 (2222-2658)","26713 (24978-29874)","5138 (4771-5400)","104 (104-105)","25 (25-25)"
"6","ann_late",500,0.7,"526 (458-605)","12058 (10469-13828)","52%","11480 (10870-11976)","441 (380-522)","14374 (12132-16676)","17728 (16713-18656)","10 (10-10)","300 (300-300)"
"7","bi_late",500,0.7,"440 (327-548)","7183 (5760-9669)","31%","16265 (15435-17216)","366 (269-477)","8642 (6617-11755)","23337 (22129-24875)","5 (5-5)","300 (300-300)"
"8","0",1000,0.7,"NA (NA-NA)","0 (0-0)","0%","17748 (16815-18694)","NA (NA-NA)","0 (0-0)","24365 (22963-25668)","0 (0-0)","NA (NA-NA)"
"9","0.5",1000,0.7,"566 (513-647)","9052 (7870-9929)","51%","8827 (8027-9135)","462 (417-543)","11090 (9378-12221)","13494 (12467-13913)","8 (8-8)","515 (510-524)"
"10","0.6",1000,0.7,"774 (730-869)","11592 (10260-12335)","65%","6309 (5780-6709)","622 (575-703)","14426 (12685-15704)","10017 (9442-10534)","14 (14-15)","329 (328-330)"
"11","0.7",1000,0.7,"1196 (1132-1296)","13778 (12797-14645)","77%","4077 (3621-4418)","945 (891-1041)","17456 (15926-18606)","7061 (6388-7479)","26 (25-26)","178 (178-178)"
"12","0.8",1000,0.7,"2253 (2112-2403)","15417 (14407-16319)","87%","2390 (2176-2566)","1752 (1639-1900)","19829 (18220-21113)","4616 (4215-4976)","55 (54-55)","48 (48-48)"
"13","ann_late",1000,0.7,"633 (583-705)","10053 (9027-10916)","57%","7810 (7414-8052)","520 (475-599)","12236 (10610-13389)","12344 (11672-12670)","10 (10-10)","300 (300-300)"
"14","bi_late",1000,0.7,"516 (427-619)","6123 (5110-7419)","35%","11596 (10838-12335)","425 (350-530)","7445 (5972-9044)","16931 (15878-17969)","5 (5-5)","300 (300-300)"
"15","0",1500,0.7,"NA (NA-NA)","0 (0-0)","0%","14756 (14262-15285)","NA (NA-NA)","0 (0-0)","20336 (19644-21060)","0 (0-0)","NA (NA-NA)"
"16","0.5",1500,0.7,"557 (482-641)","4562 (3965-5270)","31%","10128 (9505-10876)","448 (380-513)","5675 (4954-6695)","14498 (13585-15497)","4 (4-4)","1316 (911-1500)"
"17","0.6",1500,0.7,"663 (622-710)","8650 (8083-9229)","59%","6085 (5795-6302)","533 (497-580)","10755 (9888-11537)","9579 (9073-9919)","9 (9-9)","485 (483-490)"
