"","sero_thresh","foi_sp","NNT_e","DeathsAverted_e","prop_red_e_med","Deaths_e","NNT","DeathsAverted","Deaths","NumCampaign","FirstVaxTime"
"1","0",0.5,"NA (NA-NA)","0 (0-0)","0%","19460 (17776-21821)","NA (NA-NA)","0 (0-0)","26575 (24130-29668)","0 (0-0)","NA (NA-NA)"
"2","0",0.5,"NA (NA-NA)","0 (0-0)","0%","14618 (13945-15726)","NA (NA-NA)","0 (0-0)","20008 (19070-21419)","0 (0-0)","NA (NA-NA)"
"3","0",0.5,"NA (NA-NA)","0 (0-0)","0%","11584 (10493-13422)","NA (NA-NA)","0 (0-0)","15868 (14325-18351)","0 (0-0)","NA (NA-NA)"
"4","0",0.5,"NA (NA-NA)","0 (0-0)","0%","10192 (9374-10666)","NA (NA-NA)","0 (0-0)","13963 (12825-14650)","0 (0-0)","NA (NA-NA)"
"5","0",0.6,"NA (NA-NA)","0 (0-0)","0%","18590 (17421-20061)","NA (NA-NA)","0 (0-0)","25480 (23755-27428)","0 (0-0)","NA (NA-NA)"
"6","0",0.6,"NA (NA-NA)","0 (0-0)","0%","14830 (14215-16494)","NA (NA-NA)","0 (0-0)","20329 (19449-22536)","0 (0-0)","NA (NA-NA)"
"7","0",0.6,"NA (NA-NA)","0 (0-0)","0%","12390 (11148-13695)","NA (NA-NA)","0 (0-0)","17025 (15245-18766)","0 (0-0)","NA (NA-NA)"
"8","0",0.6,"NA (NA-NA)","0 (0-0)","0%","10553 (9683-11548)","NA (NA-NA)","0 (0-0)","14536 (13275-15868)","0 (0-0)","NA (NA-NA)"
"9","0",0.7,"NA (NA-NA)","0 (0-0)","0%","17748 (16815-18694)","NA (NA-NA)","0 (0-0)","24365 (22963-25668)","0 (0-0)","NA (NA-NA)"
"10","0",0.7,"NA (NA-NA)","0 (0-0)","0%","14756 (14262-15285)","NA (NA-NA)","0 (0-0)","20336 (19644-21060)","0 (0-0)","NA (NA-NA)"
"11","0",0.7,"NA (NA-NA)","0 (0-0)","0%","12781 (12104-13332)","NA (NA-NA)","0 (0-0)","17587 (16645-18350)","0 (0-0)","NA (NA-NA)"
"12","0",0.7,"NA (NA-NA)","0 (0-0)","0%","11326 (10774-11738)","NA (NA-NA)","0 (0-0)","15610 (14859-16158)","0 (0-0)","NA (NA-NA)"
"13","0",0.8,"NA (NA-NA)","0 (0-0)","0%","16395 (15842-17324)","NA (NA-NA)","0 (0-0)","22498 (21693-23840)","0 (0-0)","NA (NA-NA)"
"14","0",0.8,"NA (NA-NA)","0 (0-0)","0%","14352 (13903-14854)","NA (NA-NA)","0 (0-0)","19797 (19179-20490)","0 (0-0)","NA (NA-NA)"
