"","sero_thresh","foi_sp","NNT_e","DeathsAverted_e","prop_red_e_med","Deaths_e","NNT","DeathsAverted","Deaths","NumCampaign","FirstVaxTime"
"1","0",0.7,"NA (NA-NA)","0 (0-0)","0%","11144 (9864-13636)","NA (NA-NA)","0 (0-0)","15315 (13543-18643)","0 (0-0)","NA (NA-NA)"
"2","0.5",0.7,"547 (-3109-5892)","1516 (-604-3903)","14%","9695 (8104-11866)","419 (-2368-3012)","1890 (-1050-5075)","13603 (11352-16406)","1 (1-2)","2282 (1799-3164)"
"3","0.55",0.7,"586 (305-2285)","2429 (558-4879)","23%","8651 (7425-10353)","456 (216-1723)","3084 (625-6138)","12163 (10410-14483)","2 (2-3)","1716 (1142-2233)"
"4","0.6",0.7,"657 (426-1502)","3876 (1539-6132)","35%","7106 (5885-9654)","524 (326-1278)","4776 (1793-7914)","10116 (8665-13676)","4 (3-5)","829 (796-1416)"
"5","0.65",0.7,"734 (520-1236)","5233 (2629-7366)","47%","5958 (4887-8068)","580 (403-1086)","6623 (2938-9495)","8857 (7399-11787)","6 (5-6)","606 (589-647)"
"6","0.7",0.7,"875 (655-1227)","6381 (4651-8556)","59%","4572 (3607-6475)","695 (509-989)","8187 (5555-11204)","6916 (5676-9829)","9 (8-9)","419 (415-436)"
"7","0.75",0.7,"1099 (855-1432)","7630 (5683-9796)","69%","3490 (2736-5489)","852 (655-1175)","9786 (6974-12817)","5484 (4378-8462)","13 (12-14)","260 (255-277)"
"8","0.8",0.7,"1548 (1237-1962)","8408 (6507-10709)","76%","2647 (2086-4077)","1214 (956-1566)","10876 (8154-13780)","4386 (3429-6569)","21 (20-21)","111 (109-124)"
"9","ann_late",0.7,"945 (749-1197)","6747 (5337-8520)","62%","4190 (3503-5704)","751 (576-987)","8489 (6473-11071)","6469 (5448-8803)","10 (10-10)","300 (300-300)"
"10","bi_late",0.7,"683 (468-1150)","4662 (2775-6809)","42%","6389 (5537-8307)","548 (358-983)","5812 (3243-8885)","9364 (8187-11918)","5 (5-5)","300 (300-300)"
