"","sero_thresh","foi_sp","NNT_e","DeathsAverted_e","prop_red_e_med","Deaths_e","NNT","DeathsAverted","Deaths","NumCampaign","FirstVaxTime"
"1","0",0.7,"NA (NA-NA)","0 (0-0)","0%","20591 (19183-23480)","NA (NA-NA)","0 (0-0)","28148 (26200-32025)","0 (0-0)","NA (NA-NA)"
"2","0.5",0.7,"NA (NA-NA)","0 (0-0)","0%","20591 (19183-23480)","NA (NA-NA)","0 (0-0)","28148 (26200-32025)","0 (0-0)","NA (NA-NA)"
"3","0.55",0.7,"226 (-3317-623)","0 (-35-3284)","0%","20507 (17348-23480)","204 (-590-910)","0 (-190-3682)","28034 (24296-32025)","0 (0-1)","2022 (1916-3113)"
"4","0.6",0.7,"312 (-4722-10004)","2072 (-313-6173)","9%","18275 (15576-21916)","240 (-2053-2710)","2494 (-811-7701)","25262 (22021-30086)","2 (1-2)","1603 (858-1643)"
"5","0.65",0.7,"402 (296-771)","5750 (3059-8604)","27%","14730 (13135-17246)","346 (240-800)","6631 (3339-10612)","21359 (19226-24583)","4 (3-4)","591 (589-596)"
"6","0.7",0.7,"509 (361-711)","7504 (5378-10580)","37%","12972 (12176-15074)","429 (288-640)","8906 (5979-13284)","19121 (17866-22050)","6 (6-6)","416 (415-419)"
"7","0.75",0.7,"645 (533-849)","10879 (8288-13164)","53%","9729 (8999-11589)","539 (439-755)","13014 (9345-15972)","15151 (14051-17723)","11 (11-11)","255 (255-255)"
"8","0.8",0.7,"855 (741-1056)","12684 (10272-14632)","62%","8052 (7468-9771)","701 (590-903)","15468 (12017-18366)","12913 (11816-15433)","17 (17-18)","109 (109-109)"
"9","ann_late",0.7,"605 (474-810)","10514 (7839-13406)","51%","10258 (9219-11664)","518 (389-747)","12279 (8508-16355)","16011 (14547-17995)","10 (10-10)","300 (300-300)"
"10","bi_late",0.7,"486 (340-827)","6484 (3825-9257)","32%","13986 (12658-16426)","424 (268-783)","7456 (4102-11752)","20304 (18530-23566)","5 (5-5)","300 (300-300)"
