"","sero_thresh","foi_sp","NNT_e","DeathsAverted_e","prop_red_e_med","Deaths_e","NNT","DeathsAverted","Deaths","NumCampaign","FirstVaxTime"
"1","0",0.7,"NA (NA-NA)","0 (0-0)","0%","11166 (8896-11799)","NA (NA-NA)","0 (0-0)","15398 (12213-16268)","0 (0-0)","NA (NA-NA)"
"2","0.5",0.7,"506 (362-1589)","1446 (718-2241)","13%","9675 (7537-10780)","412 (291-1415)","1799 (824-2897)","13500 (10519-14941)","1 (1-2)","2014 (1921-2869)"
"3","0.55",0.7,"482 (405-1199)","2709 (1270-3325)","24%","8481 (6524-8957)","364 (304-1018)","3575 (1507-4302)","11815 (9287-12585)","2 (2-3)","1700 (1616-1721)"
"4","0.6",0.7,"633 (520-784)","3978 (3069-4902)","38%","6941 (5121-8479)","506 (420-643)","4955 (3805-6073)","9989 (7610-12006)","4 (3-4)","880 (798-1485)"
"5","0.65",0.7,"731 (679-857)","5251 (4465-5651)","48%","5882 (4031-6732)","576 (535-692)","6670 (5529-7157)","8688 (6232-9779)","6 (6-7)","591 (589-596)"
"6","0.7",0.7,"878 (821-1083)","6537 (5304-6990)","60%","4481 (3250-5108)","690 (638-869)","8317 (6606-8999)","6901 (5038-7799)","9 (9-9)","416 (415-419)"
"7","0.75",0.7,"1104 (1029-1413)","7533 (6324-8065)","69%","3496 (2209-4130)","859 (807-1121)","9696 (7971-10280)","5579 (3727-6446)","13 (13-14)","255 (255-255)"
"8","0.8",0.7,"1538 (1448-1879)","8703 (7139-9261)","79%","2347 (1575-2920)","1182 (1118-1482)","11320 (9139-11994)","3960 (2775-4768)","21 (21-22)","109 (109-109)"
"9","ann_435",0.7,"860 (823-894)","6676 (6423-6976)","59%","4604 (4260-4830)","673 (642-700)","8527 (8201-8936)","7041 (6532-7383)","9 (9-9)","435 (435-435)"
"10","ann_800",0.7,"810 (767-856)","6295 (5956-6649)","56%","4998 (4564-5254)","632 (601-654)","8063 (7791-8478)","7543 (6930-7887)","8 (8-8)","800 (800-800)"
"11","ann_late",0.7,"914 (855-1110)","6976 (5748-7456)","64%","4072 (2967-4603)","725 (681-903)","8787 (7063-9362)","6500 (4876-7277)","10 (10-10)","300 (300-300)"
"12","bi_435",0.7,"698 (628-823)","4558 (3870-5069)","41%","6701 (6380-7227)","544 (477-642)","5854 (4958-6684)","9617 (9187-10392)","5 (5-5)","435 (435-435)"
"13","bi_800",0.7,"602 (555-693)","4231 (3677-4591)","38%","7079 (6699-7407)","475 (436-553)","5359 (4604-5839)","10230 (9686-10715)","4 (4-4)","800 (800-800)"
"14","bi_late",0.7,"632 (551-762)","5035 (4181-5772)","47%","5936 (4489-6656)","512 (437-644)","6225 (4950-7278)","8912 (6888-9933)","5 (5-5)","300 (300-300)"
